Column1,name,mass,radius,orbital_period,semi_major_axis,eccentricity,angular_distance,inclination,discovered
24,2M 2206-20 b,30,1.3,8686,4.48,0,0.167979,44.3,2010
184,CoRoT-3 b,21.66,1.19,4.2567994,0.057,0,8.40E-05,85.9,2008
23,2M 2140+16 b,20,0.92,7340,3.53,0.26,0.1412,46.2,2010
4937,beta Pic b,11.9,1.65,7707,9.93,0.103,0.440415,89,2008
4910,XO-3 b,11.79,1.217,3.1915239,0.0454,0.26,0.000175,84.2,2007
4770,WASP-18 b,10.4296,1.165,0.9414518,0.02047,0.0088,0.000205,86,2009
1314,HR 8799 e,9.6,1.17,18000,16.4,0.15,0.36802,25,2010
395,HAT-P-2 b,8.74,0.951,5.6334729,0.0674,0.5171,0.000571,90,2007
1312,HR 8799 c,8.3,1.3,82145,42.9,0,1.088832,28,2008
1313,HR 8799 d,8.3,1.2,41054,27,0.1,0.685279,28,2008
165,CoRoT-14 b,7.6,1.09,1.51214,0.027,0,2.00E-05,79.6,2010
4731,WASP-14 b,7.341,1.281,2.2437661,0.036,0.087,0.000225,84.79,2008
396,HAT-P-20 b,7.246,0.867,2.875317,0.0361,0.015,0.000516,81.9,2010
1311,HR 8799 b,7,1.2,164250,68,0,1.725888,28,2008
568,HD 10697 b,6.837,1.152,1075.69,2.14,0.1043,0.066339,69,2000
3475,Kepler-46 b,6,0.808,33.60134,0.1968,0.01,0.00023,89.038,2012
4967,tau Boo A b,5.84,1.06,3.31249,0.046,0.0787,0.002949,45,1996
172,CoRoT-20 b,4.24,0.84,9.2431839,0.0902,0.562,7.30E-05,88.21,2011
390,HAT-P-16 b,4.193,1.289,2.77596,0.0413,0.036,0.000176,86.6,2010
397,HAT-P-21 b,4.063,1.024,4.124461,0.0494,0.228,0.000194,87.2,2010
1153,HD 80606 b,3.94,0.921,111.43637,0.449,0.93366,0.007688,89.285,2001
169,CoRoT-18 b,3.47,1.31,1.90009057,0.0295,0.08,3.40E-05,86.5,2011
411,HAT-P-34 b,3.328,1.107,5.452654,0.0677,0.441,0.000263,87.1,2012
171,CoRoT-2 b,3.31,1.465,1.7429964,0.0281,0,9.40E-05,87.84,2007
3421,Kepler-43 b,3.23,1.219,3.0240949,0.046,0.025,2.30E-05,84.646,2011
777,HD 17156 b,3.195,1.095,21.2163979,0.1623,0.6768,0.002074,87.21,2007
4688,WASP-10 b,3.16,1.08,3.0927616,0.0371,0.057,0.000412,86.8,2008
4797,WASP-33 b,2.8,1.603,1.21986967,0.02558,0,0.000221,87.7,2010
176,CoRoT-23 b,2.8,1.08,3.6314,0.0477,0.16,8.00E-05,85.7,2011
161,CoRoT-10 b,2.75,0.97,13.2406,0.1055,0.53,0.000306,88.55,2010
4802,WASP-38 b,2.712,1.079,6.871815,0.07551,0.0321,0.000686,88.69,2010
2722,Kepler-17 b,2.45,1.31,1.4857108,0.02591,0.011,3.20E-05,87.2,2011
388,HAT-P-14 b,2.444,1.01,4.627686,0.0606,0.095,0.00029,84.1167,2010
168,CoRoT-17 b,2.43,1.02,3.768125,0.0461,0,5.00E-05,88.34,2010
162,CoRoT-11 b,2.33,1.43,2.994325,0.04351,0,7.80E-05,81.41,2010
4836,WASP-66 b,2.32,1.39,4.086052,0.0546,0,0.000144,85.9,2011
